LAMMPS Description

     26667  atoms
     14858  bonds
     7429  angles
     0  dihedrals
     0  impropers

     3  atom types
     1  bond types
     1  angle types

  -3.320341e+01 3.320341e+01 xlo xhi
  -2.982000e+01 2.982000e+01 ylo yhi
  -3.940500e+01 1.182150e+02 zlo zhi

Masses

    1  12.0
    2 15.9994
    3 1.008

Atoms # full

98 49 1 0.0 4.30414919176 -26.27 0.0
99 50 1 0.0 5.53390526514 -26.98 0.0
100 50 1 0.0 6.76366133851 -26.27 0.0
101 51 1 0.0 7.99341741189 -26.98 0.0
102 51 1 0.0 9.22317348526 -26.27 0.0
103 52 1 0.0 10.4529295586 -26.98 0.0
104 52 1 0.0 11.682685632 -26.27 0.0
105 53 1 0.0 12.9124417054 -26.98 0.0
106 53 1 0.0 14.1421977788 -26.27 0.0
107 54 1 0.0 15.3719538521 -26.98 0.0
108 54 1 0.0 16.6017099255 -26.27 0.0
109 55 1 0.0 -47.3456058899 -24.85 0.0
110 55 1 0.0 -46.1158498166 -24.14 0.0
111 56 1 0.0 -44.8860937432 -24.85 0.0
112 56 1 0.0 -43.6563376698 -24.14 0.0
113 57 1 0.0 -42.4265815964 -24.85 0.0
114 57 1 0.0 -41.1968255231 -24.14 0.0
115 58 1 0.0 -39.9670694497 -24.85 0.0
116 58 1 0.0 -38.7373133763 -24.14 0.0
117 59 1 0.0 -37.5075573029 -24.85 0.0
118 59 1 0.0 -36.2778012296 -24.14 0.0
119 60 1 0.0 -35.0480451562 -24.85 0.0
120 60 1 0.0 -33.8182890828 -24.14 0.0
121 61 1 0.0 -32.5885330095 -24.85 0.0
122 61 1 0.0 -31.3587769361 -24.14 0.0
123 62 1 0.0 -30.1290208627 -24.85 0.0
124 62 1 0.0 -28.8992647893 -24.14 0.0
125 63 1 0.0 -27.669508716 -24.85 0.0
126 63 1 0.0 -26.4397526426 -24.14 0.0
127 64 1 0.0 -25.2099965692 -24.85 0.0
128 64 1 0.0 -23.9802404958 -24.14 0.0
129 65 1 0.0 -22.7504844225 -24.85 0.0
130 65 1 0.0 -21.5207283491 -24.14 0.0
131 66 1 0.0 -20.2909722757 -24.85 0.0
132 66 1 0.0 -19.0612162023 -24.14 0.0
133 67 1 0.0 -17.831460129 -24.85 0.0
134 67 1 0.0 -16.6017040556 -24.14 0.0
135 68 1 0.0 -15.3719479822 -24.85 0.0
136 68 1 0.0 -14.1421919088 -24.14 0.0
137 69 1 0.0 -12.9124358355 -24.85 0.0
138 69 1 0.0 -11.6826797621 -24.14 0.0
139 70 1 0.0 -10.4529236887 -24.85 0.0
140 70 1 0.0 -9.22316761535 -24.14 0.0
141 71 1 0.0 -7.99341154197 -24.85 0.0
142 71 1 0.0 -6.7636554686 -24.14 0.0
143 72 1 0.0 -5.53389939523 -24.85 0.0
144 72 1 0.0 -4.30414332185 -24.14 0.0
145 73 1 0.0 -3.07438724848 -24.85 0.0
146 73 1 0.0 -1.8446311751 -24.14 0.0
147 74 1 0.0 -0.614875101731 -24.85 0.0
148 74 1 0.0 0.614880971643 -24.14 0.0
149 75 1 0.0 1.84463704502 -24.85 0.0
150 75 1 0.0 3.07439311839 -24.14 0.0
151 76 1 0.0 4.30414919176 -24.85 0.0
152 76 1 0.0 5.53390526514 -24.14 0.0
153 77 1 0.0 6.76366133851 -24.85 0.0
154 77 1 0.0 7.99341741189 -24.14 0.0
155 78 1 0.0 9.22317348526 -24.85 0.0
156 78 1 0.0 10.4529295586 -24.14 0.0
157 79 1 0.0 11.682685632 -24.85 0.0
158 79 1 0.0 12.9124417054 -24.14 0.0
159 80 1 0.0 14.1421977788 -24.85 0.0
160 80 1 0.0 15.3719538521 -24.14 0.0
161 81 1 0.0 16.6017099255 -24.85 0.0
162 81 1 0.0 17.8314659989 -24.14 0.0
163 82 1 0.0 -46.1158498166 -22.72 0.0
164 82 1 0.0 -44.8860937432 -22.01 0.0
165 83 1 0.0 -43.6563376698 -22.72 0.0
166 83 1 0.0 -42.4265815964 -22.01 0.0
167 84 1 0.0 -41.1968255231 -22.72 0.0
168 84 1 0.0 -39.9670694497 -22.01 0.0
169 85 1 0.0 -38.7373133763 -22.72 0.0
170 85 1 0.0 -37.5075573029 -22.01 0.0
171 86 1 0.0 -36.2778012296 -22.72 0.0
172 86 1 0.0 -35.0480451562 -22.01 0.0
173 87 1 0.0 -33.8182890828 -22.72 0.0
174 87 1 0.0 -32.5885330095 -22.01 0.0
175 88 1 0.0 -31.3587769361 -22.72 0.0
176 88 1 0.0 -30.1290208627 -22.01 0.0
177 89 1 0.0 -28.8992647893 -22.72 0.0
178 89 1 0.0 -27.669508716 -22.01 0.0
179 90 1 0.0 -26.4397526426 -22.72 0.0
180 90 1 0.0 -25.2099965692 -22.01 0.0
181 91 1 0.0 -23.9802404958 -22.72 0.0
182 91 1 0.0 -22.7504844225 -22.01 0.0
183 92 1 0.0 -21.5207283491 -22.72 0.0
184 92 1 0.0 -20.2909722757 -22.01 0.0
185 93 1 0.0 -19.0612162023 -22.72 0.0
